finance_id,model_id,year,country,units_sold,total_revenue,profit,min_price,max_price,revenue_per_unit,average_profit_margin_pct,tax_rate_pct,import_duty_usd,local_manufacturing_cost_usd,marketing_expense_usd,r_and_d_expense_usd,warranty_cost_usd,dealer_commission_pct,currency,exchange_rate_to_usd,net_profit_usd,gross_margin_usd,operating_expense_usd,net_revenue_usd,tax_paid_usd,interest_expense_usd,cash_flow_usd,capital_expenditure_usd,depreciation_usd,amortization_usd,ebitda_usd,ebit_usd,net_income_usd,dividend_usd,shares_outstanding
11,1,2015,USA,1443,12848460.141567722,3075921.357891313,8557.93,52499.19,8903.991782098214,23.94,15.71,695.89,14030.99,11500.75,7161.0,3728.49,5.75,AUD,1.3862,1057428.2696510237,12833733.261567721,76597.02,12771863.121567722,2018493.0882402891,12025.57,51035.34,55104.33,1350.43,4442.3,12777655.851567723,12765630.281567723,10747137.193327434,3208.73,3977540
12,1,2016,USA,6329,202601219.35535327,54114785.689814866,12723.09,39779.88,32011.568866385413,26.71,13.97,1053.43,15839.14,10964.05,7705.74,655.94,5.37,AUD,0.9202,25811395.345872015,202584326.78535327,30287.65,202570931.70535326,28303390.34394285,8983.18,108832.95,43085.63,5314.79,1672.82,202577919.31535324,202568936.13535324,174265545.7914104,4590.41,4097950
13,1,2017,USA,2311,67037520.91498439,13273429.141166909,9215.37,66842.1,29008.0142427453,19.8,8.99,238.01,17453.8,11729.22,6883.93,1825.92,5.41,USD,1.124,7246756.0109098125,67019829.104984395,72704.15,66964816.76498439,6026673.130257096,4578.85,91492.09,35182.98,11861.39,3952.95,66980631.104984395,66976052.25498439,60949379.124727294,2719.77,4357836
14,1,2018,USA,1604,79592111.03049198,12734737.764878716,8711.75,56214.86,49621.01685192767,16.0,12.76,569.15,9385.64,14999.31,4816.29,2939.2,3.02,USD,1.0013,2578784.3973879404,79582156.24049197,92286.67,79499824.36049198,10155953.367490776,1016.56,26998.55,7507.53,4896.56,4855.09,79509576.01049198,79508559.45049198,69352606.0830012,3803.34,1544462
15,1,2019,USA,1850,29325904.76238003,3988323.047683684,16438.43,53102.9,15851.840412097314,13.6,18.73,826.35,24533.17,14204.03,10217.38,7192.09,3.74,INR,0.5838,-1504418.9143100958,29300545.242380027,26339.62,29299565.14238003,5492741.96199378,11109.58,29574.63,20939.82,8600.41,4683.9,29312849.452380028,29301739.87238003,23808997.91038625,3810.69,3270517
16,1,2020,USA,6163,158903697.6122668,16653107.509765564,18408.22,45726.04,25783.497908853937,10.48,7.18,470.96,12347.03,4371.54,7264.99,5079.68,4.35,JPY,1.1068,5243822.021204809,158890879.6222668,92415.35,158811282.2622668,11409285.488560755,12310.42,18483.11,7319.63,7267.29,1149.25,158819698.8022668,158807388.38226682,147398102.89370605,1678.89,4409011
17,1,2021,USA,4835,211919042.78787884,15639625.35774546,16575.55,58061.97,43830.20533358404,7.38,16.27,666.99,20897.11,3506.12,2440.59,1351.88,5.52,AUD,1.3882,-18839602.903842427,211897478.68787882,79345.31,211839697.47787884,34479228.26158789,13626.08,74712.68,20333.8,2969.91,5647.23,211848314.61787882,211834688.5378788,177355460.27629092,2507.03,2498109
18,1,2022,USA,221,1878166.903987012,544668.4021562334,13015.43,24188.98,8498.492778221775,29.0,11.02,826.34,18089.47,8924.61,12072.29,1450.61,7.36,GBP,0.6952,337694.4093368647,1859251.093987012,63506.39,1814660.5139870122,206973.99281936872,2280.13,43541.05,29023.0,7781.6,1745.06,1824187.1739870124,1821907.0439870125,1614933.0511676436,2844.49,3822437
19,1,2023,USA,4892,234971680.36647207,37971423.547221884,7686.81,25405.23,48031.82346003108,16.16,11.3,319.43,12199.94,9317.24,9593.55,5659.56,7.15,INR,1.2347,11419623.665810537,234959160.99647206,68733.09,234902947.27647206,26551799.881411348,8889.89,101947.9,41195.14,7049.07,7730.1,234917726.44647205,234908836.55647206,208357036.67506072,3054.83,2636642
20,1,2024,USA,4593,116000321.708395,31273686.732583296,7695.79,73027.91,25255.894123317004,26.96,10.79,1063.44,18126.82,12699.23,6051.11,991.4,7.46,EUR,0.8448,18757252.020247474,115981131.44839501,21345.21,115978976.49839501,12516434.71233582,3053.85,44721.66,9225.75,5128.21,6182.56,115990287.268395,115987233.41839501,103470798.70605919,4325.28,1768988
21,1,2015,UK,2604,68175446.65899698,9128692.307639696,13549.95,65563.25,26181.0471040695,13.39,13.61,885.25,9910.15,4548.29,17126.17,5007.97,7.31,USD,1.2878,-149985.98264979385,68164651.25899698,74376.02,68101070.63899699,9278678.29028949,11986.73,92263.59,29054.67,9127.64,5390.29,68115588.568997,68103601.83899699,58824923.5487075,2582.93,4400425
22,1,2016,UK,1729,86244754.34225076,8840087.320080703,6553.59,70602.04,49881.29227429194,10.25,8.18,490.85,22210.69,11050.57,12782.31,5139.71,4.8,JPY,1.3332,1785266.4148845905,86222052.80225077,98783.62,86145970.72225076,7054820.905196113,10760.64,83132.51,33228.25,1294.19,6831.13,86154096.04225075,86143335.40225075,79088514.49705464,2349.08,3747152
23,1,2017,UK,4357,147435060.9628781,8787129.633387534,9957.33,46124.16,33838.664439494634,5.96,7.82,1197.55,15277.53,7337.57,13412.3,5200.78,4.45,INR,0.6697,-2742292.133909533,147418585.8828781,30327.82,147404733.14287812,11529421.767297067,10956.32,110934.3,24680.69,2761.52,7945.89,147415440.5528781,147404484.23287812,135875062.46558106,2835.93,4573490
24,1,2018,UK,782,19218033.29897717,2087078.4162689205,19209.33,20566.09,24575.490152144717,10.86,8.15,233.97,24522.0,7695.07,13327.04,3028.27,3.52,USD,0.6051,520808.7024022811,19193277.32897717,54483.36,19163549.93897717,1566269.7138666394,7197.56,67893.06,34641.77,4113.35,6308.24,19173971.52897717,19166773.968977172,17600504.255110532,2595.35,2069089
25,1,2019,UK,644,36351354.16373537,9215068.280506916,19643.48,57916.08,56446.202117601504,25.35,6.07,858.47,9345.22,7536.26,4851.8,4278.93,7.27,JPY,1.4315,7008541.0827681795,36341150.47373537,32741.99,36318612.173735365,2206527.197738737,2440.99,110871.98,5087.74,10387.98,3597.11,36332597.26373536,36330156.27373536,34123629.07599662,4205.87,1670509
26,1,2020,UK,6971,57152897.198160894,12070691.88825158,7242.36,71536.57,8198.665499664452,21.12,7.91,613.34,10290.53,4821.5,5148.83,5093.55,10.37,USD,1.4308,7549897.719877053,57141993.32816089,39574.77,57113322.42816089,4520794.168374527,7043.62,62215.99,43175.85,2912.96,1361.53,57117596.91816089,57110553.298160896,52589759.12978637,3892.78,3322379
27,1,2021,UK,3324,190815174.78417882,41693115.690343075,13240.08,49812.6,57405.28723952432,21.85,15.76,1016.97,17810.83,4079.87,7998.55,7498.56,10.52,EUR,0.5592,11620644.144356493,190796346.9841788,88703.46,190726471.3241788,30072471.54598658,11080.4,25201.59,52975.52,5330.05,5320.05,190737121.42417884,190726041.02417883,160653569.47819224,3679.75,3358125
28,1,2022,UK,1750,47517491.63976096,11290156.013607206,8433.42,50144.64,27152.852365577695,23.76,7.14,704.53,3777.05,8360.85,12355.22,4358.7,7.3,AUD,1.268,7897407.1105282735,47513010.059760965,51137.3,47466354.33976097,3392748.903078933,2420.41,108711.31,8741.29,8609.95,5980.68,47480944.96976097,47478524.55976097,44085775.65668204,4212.67,1193746
29,1,2023,UK,5304,48010994.0577402,4834707.101614438,6897.69,64035.86,9051.84654180622,10.07,8.31,1447.02,7190.87,5659.26,6991.74,3273.49,8.19,EUR,0.9229,844993.4954162273,48002356.167740196,49293.21,47961700.847740196,3989713.6061982107,5228.53,55295.86,10516.01,10732.69,7885.25,47980318.78774019,47975090.25774019,43985376.65154198,1329.96,4058657
30,1,2024,UK,1217,27876755.533617582,2060092.2339343394,17812.12,43887.44,22906.126157450766,7.39,15.04,1220.06,17639.98,9206.54,11638.65,5643.13,5.12,AUD,0.9642,-2132571.7983217444,27857895.493617583,13947.22,27862808.313617583,4192664.032256084,9056.3,87375.74,29076.24,2961.82,3655.22,27869425.353617582,27860369.05361758,23667705.021361496,4083.8,2682417
31,1,2015,Germany,4943,296268531.12015396,33004314.366785154,15706.42,39031.65,59936.9878859304,11.14,17.72,767.25,12913.36,2760.14,5131.46,3454.87,10.14,JPY,1.0204,-19494469.347706124,296254850.51015395,95225.15,296173305.970154,52498783.71449128,9743.09,114584.64,15256.22,5779.55,3965.94,296183051.460154,296173308.370154,243674524.65566275,2340.17,4001511
32,1,2016,Germany,931,48316779.49120296,7281338.669324286,11219.78,58673.53,51897.722332119185,15.07,6.03,454.37,5813.53,9523.06,9304.45,3965.38,10.08,JPY,0.7413,4367836.866004748,48310511.59120296,87159.27,48229620.221202955,2913501.803319538,1027.66,108453.74,42317.11,10907.73,4358.36,48244886.31120295,48243858.651202954,45330356.84788342,3672.61,3924993
33,1,2017,Germany,6576,226283139.54486293,26859808.663975228,8891.76,52250.69,34410.45309380519,11.87,10.03,1186.4,3691.31,13323.41,18821.31,7479.05,10.29,INR,1.2475,4163609.767625477,226278261.83486292,58897.87,226224241.67486292,22696198.89634975,11705.99,44750.72,7012.89,2589.84,1333.32,226228164.83486292,226216458.8448629,203520259.94851315,4041.78,1815273
34,1,2018,Germany,2269,123495157.1867483,33689478.88054493,11161.17,55009.54,54427.129654803124,27.28,12.7,744.12,11223.3,2568.07,2717.34,3735.8,3.31,EUR,0.9173,18005593.917827897,123483189.7667483,89478.68,123405678.50674829,15683884.962717032,1245.06,103946.61,51534.2,7758.4,5943.48,123419380.3867483,123418135.3267483,107734250.36403127,4631.37,4469770
35,1,2019,Germany,754,30446955.547795348,3379612.065805284,15937.6,69305.1,40380.57764959595,11.1,8.24,592.91,11024.19,3162.03,8957.38,1961.64,3.89,INR,1.4655,870782.9286669474,30435338.447795346,47186.77,30399768.77779535,2508829.1371383364,11190.79,90163.22,50690.43,9272.95,3482.22,30412523.947795346,30401333.157795347,27892504.02065701,3137.05,1218524
36,1,2020,Germany,481,5799984.768137293,719198.1112490243,16074.95,28677.95,12058.180391137823,12.4,16.89,500.29,4908.8,8073.89,19730.08,646.45,7.34,GBP,0.9178,-260419.31608936458,5794575.678137293,49635.11,5750349.658137293,979617.4273383889,4901.18,67923.12,52673.13,7350.73,786.91,5758487.298137293,5753586.1181372935,4773968.690798905,3185.29,4803708
37,1,2021,Germany,6302,359690751.8381682,104705977.86009078,15575.07,42956.72,57075.650878795335,29.11,18.41,1078.28,16541.59,7888.68,2534.69,6146.52,9.74,USD,1.1842,38486910.44668402,359673131.96816826,87386.24,359603365.5981682,66219067.41340676,9879.34,102221.17,28462.9,6494.41,1316.52,359611176.5281682,359601297.1881682,293382229.77476144,1500.89,3300339
38,1,2022,Germany,3963,218391015.62911662,31317271.641215324,8136.25,64744.75,55107.49826624189,14.34,7.75,1039.68,22938.81,9332.02,15309.02,5822.6,7.76,EUR,1.2278,14391967.929958787,218367037.13911662,68155.19,218322860.43911663,16925303.711256538,11883.41,94465.13,9686.41,10607.14,7794.48,218341262.0591166,218329378.6491166,201404074.93786007,2348.61,1734491
39,1,2023,Germany,1996,122809791.54428326,12489755.800053606,10200.34,71581.11,61527.951675492615,10.17,10.06,1315.77,17088.14,11116.36,7464.7,7973.51,5.18,JPY,0.8672,135090.7706987094,122791387.63428326,35546.19,122774245.35428326,12354665.029354896,8190.19,65576.03,11885.76,10188.92,2430.4,122786864.67428327,122778674.48428327,110424009.45492837,1026.16,2694992
40,1,2024,Germany,6652,70386596.15448052,20918896.37711161,16454.72,40705.62,10581.268213241208,29.72,12.47,375.51,8900.96,10330.43,8587.59,2349.4,9.34,AUD,1.4461,12141687.836647889,70377319.68448052,78119.18,70308476.97448051,8777208.540463721,2844.15,40505.89,56565.51,1134.23,3337.11,70312948.31448051,70310104.1644805,61532895.624016784,1676.2,3493472
41,1,2015,France,2942,71502403.12457518,7615005.932767258,17525.05,62630.79,24304.01193901264,10.65,9.26,576.85,6266.12,12586.64,10255.06,3776.05,5.76,EUR,1.329,993883.4034315962,71495560.15457518,92626.84,71409776.28457518,6621122.529335662,6445.56,100716.33,56522.92,3998.79,5547.08,71419322.15457518,71412876.59457518,64791754.06523952,2488.23,3167322
42,1,2016,France,4517,174923998.6164158,40722306.8779016,13453.87,60371.43,38725.70259384897,23.28,9.39,605.11,11239.7,12526.73,13111.44,4290.8,10.3,AUD,1.0313,24296943.407820158,174912153.8064158,15607.47,174908391.1464158,16425363.470081443,5666.24,79929.28,28824.63,5102.23,6950.35,174920443.72641578,174914777.48641577,158489414.01633433,1929.28,1453209
43,1,2017,France,6404,210419529.5942005,28974769.22512141,18979.06,57757.13,32857.515551873905,13.77,11.07,431.05,23939.0,12703.47,15567.48,4216.83,7.19,EUR,0.5123,5681327.299043413,210395159.54420048,27166.69,210392362.9042005,23293441.926077995,7560.38,74189.25,54719.98,5942.24,2983.63,210401288.7742005,210393728.3942005,187100286.4681225,2572.24,1942258
44,1,2018,France,6162,395645594.6793214,80197362.04149845,7101.55,26732.04,64207.334417286824,20.27,19.31,605.25,16020.52,5305.61,19138.03,7774.23,8.27,JPY,0.6631,3798197.708921492,395628968.9093214,54733.65,395590861.02932143,76399164.33257696,10648.32,65649.81,33004.23,9987.31,4477.61,395605325.94932145,395594677.62932146,319195513.29674447,2794.5,4940327
45,1,2019,France,124,3436140.09878308,312001.5209695037,17262.83,33129.45,27710.807248250647,9.08,11.49,426.04,21348.43,14011.4,13644.26,6578.85,7.63,USD,0.9908,-82810.97638067225,3414365.62878308,79447.12,3356692.97878308,394812.4973501759,8300.97,103543.72,42787.16,6921.43,7877.89,3371492.29878308,3363191.32878308,2968378.831432904,4506.17,4536580
46,1,2020,France,849,35986742.98032808,1975672.1896200117,12136.44,62629.09,42387.21199096359,5.49,5.67,361.88,17711.98,13536.79,15473.98,6874.05,5.92,JPY,1.4648,-64776.13736459054,35968669.12032808,84754.78,35901988.20032808,2040448.3269846023,1742.56,27911.84,43206.23,5965.15,5584.16,35913537.51032808,35911794.950328074,33871346.623343475,2566.32,3700829
47,1,2021,France,755,33072246.297189757,9772848.780819573,12841.43,28160.76,43804.29973137716,29.55,15.4,100.93,21802.21,7946.43,4078.75,1865.91,7.78,JPY,1.101,4679722.851052349,33050343.157189757,31543.06,33040703.23718976,5093125.929767223,13863.94,29595.09,8599.94,8618.44,5264.79,33054586.46718976,33040722.527189758,27947596.597422533,4204.31,4223167
48,1,2022,France,5715,186061270.6796455,25062453.160548255,15623.91,57330.89,32556.652787339546,13.47,9.89,235.54,11833.27,2290.63,19570.28,3910.99,11.66,AUD,0.8676,6660993.4903313145,186049201.8696455,68384.79,185992885.88964552,18401459.67021694,2672.62,30095.63,32964.57,6099.78,1581.94,186000567.60964552,185997894.9896455,167596435.31942856,2152.87,4947648
49,1,2023,France,999,25092847.313754927,3633444.2910317136,19974.16,52880.29,25117.96527903396,14.48,6.22,426.35,23773.41,8872.16,5591.74,3769.29,9.4,JPY,1.0029,2072669.1881161572,25068647.553754926,79876.69,25012970.623754926,1560775.1029155564,3824.53,81543.93,27666.78,8737.06,4440.69,25026148.373754926,25022323.843754925,23461548.74083937,2935.97,3016343
50,1,2024,France,4640,90968335.11845905,14027317.275266385,19216.16,67959.86,19605.24463759893,15.42,14.81,1368.24,9053.14,12449.98,3295.24,4242.65,10.67,EUR,0.5152,554906.8442225996,90957913.73845905,25053.69,90943281.42845905,13472410.431043785,4874.48,74268.25,41215.7,9485.26,7717.08,90960483.76845905,90955609.28845905,77483198.85741526,2450.63,4733460
51,1,2015,Australia,3803,137264735.59728864,9416360.861974,14736.46,66372.26,36093.80373318134,6.86,7.38,1236.72,23755.88,11384.8,11098.81,4552.42,9.98,EUR,0.9487,-713776.6251059007,137239742.99728864,46553.15,137218182.44728863,10130137.487079902,11928.99,94831.53,13886.91,1755.76,2620.94,137222559.14728862,137210630.1572886,127080492.67020871,3871.98,2939529
52,1,2016,Australia,741,18440182.95460754,1866146.5150062828,15305.12,65892.66,24885.537050752413,10.12,15.72,988.45,4354.52,4654.8,11460.81,1600.72,11.51,INR,0.6362,-1032650.2454580222,18434839.98460754,63401.92,18376781.034607537,2898796.760464305,13573.46,46464.5,12947.9,5314.37,6138.13,18388233.534607537,18374660.074607536,15475863.314143231,1567.74,1651655
53,1,2017,Australia,3664,173316399.52864465,48112632.50915176,16847.12,52438.43,47302.510788385545,27.76,18.75,1098.23,19369.73,5595.23,16690.1,3077.5,6.6,INR,0.9855,15615807.597530883,173295931.56864467,72389.69,173244009.83864465,32496824.911620874,4631.25,54772.58,48816.86,4058.31,5640.58,173253708.72864467,173249077.47864467,140752252.56702378,4594.8,4078450
54,1,2018,Australia,706,17469174.92756191,3692983.5796865877,10084.97,47191.75,24743.873835073526,21.14,7.85,959.54,6725.8,4271.69,3350.19,3779.54,3.11,GBP,0.5889,2321653.347872978,17461489.58756191,95313.0,17373861.92756191,1371330.2318136098,7175.6,24804.45,50332.74,2345.88,5669.48,17381877.28756191,17374701.687561907,16003371.455748297,4319.27,2040687
55,1,2019,Australia,3966,77533868.77498566,6830733.839076237,17433.66,32142.34,19549.639126320137,8.81,9.02,723.81,18034.76,9288.6,18154.34,3072.6,3.24,AUD,0.9676,-162821.12442746852,77515110.20498565,11908.32,77521960.45498566,6993554.963503705,6777.73,24243.31,14417.39,6648.73,6450.95,77535060.13498567,77528282.40498567,70534727.44148196,3966.77,2374114
56,1,2020,Australia,6562,283858041.69485307,74711436.57408533,6266.57,37809.69,43257.854570992546,26.32,9.36,888.23,22799.33,9756.35,7338.18,3563.49,10.85,AUD,0.7722,48142323.87144708,283834354.13485307,83110.24,283774931.45485306,26569112.702638246,11966.42,90611.45,35346.52,5488.67,4475.19,283784895.3148531,283772928.89485306,257203816.19221482,1477.76,3010104
57,1,2021,Australia,1364,6999550.014653333,534065.6661180493,8587.19,24943.28,5131.634908103617,7.63,8.76,1206.18,9484.81,7961.03,2273.14,7979.36,11.32,AUD,0.7305,-79094.91516558267,6988859.024653334,62467.77,6937082.244653334,613160.581283632,8060.02,31455.58,35120.67,6634.2,6116.28,6949832.724653334,6941772.704653335,6328612.123369703,2538.36,2889380
58,1,2022,Australia,4430,43311494.78069563,5167061.327336989,6895.77,74012.0,9776.861124310526,11.93,17.35,1235.05,24495.84,14019.41,18714.17,1161.61,11.45,GBP,0.7553,-2347483.0171137042,43285763.89069563,72537.18,43238957.60069563,7514544.344450694,4184.64,75445.59,34195.06,3199.66,660.36,43242817.62069563,43238632.98069563,35724088.63624494,3968.45,3128897
59,1,2023,Australia,620,14573517.272461798,3692929.2768418198,11068.55,47560.37,23505.673020099675,25.34,19.75,359.9,18734.02,10557.11,18799.79,4831.36,11.14,USD,1.2985,814659.6155306147,14554423.352461798,87442.81,14486074.462461798,2878269.661311205,1523.44,92560.48,46500.41,3351.82,1744.09,14491170.372461798,14489646.932461798,11611377.271150593,3290.32,2307557
60,1,2024,Australia,3987,146559780.07921132,39820292.24752172,12562.2,67815.97,36759.41311241819,27.17,16.05,1152.93,24922.05,6757.99,7142.77,2320.79,4.16,EUR,1.4427,16297447.544808302,146533705.0992113,10907.63,146548872.44921133,23522844.70271342,12671.07,38116.35,11011.85,8851.96,885.64,146558610.04921132,146545938.97921133,123023094.27649792,2872.44,3709798
61,1,2015,Japan,4773,269273809.5456796,63252417.86228014,9849.95,31904.0,56416.05060667916,23.49,12.19,964.78,16228.38,4025.76,12944.11,7266.98,9.7,AUD,1.014,30427940.478661794,269256616.38567966,10586.68,269263222.8656796,32824477.383618344,9813.1,59059.48,35570.86,10091.94,3049.47,269276364.27567965,269266551.1756796,236442073.79206127,4157.43,4638849
62,1,2016,Japan,3863,195688656.6077422,14050445.54443589,6148.77,30807.93,50657.172303324405,7.18,7.57,1040.9,6956.97,6518.5,4741.34,3206.39,10.28,AUD,0.7221,-763185.7607701942,195680658.7377422,65945.28,195622711.3277422,14813631.305206085,11499.89,101434.3,56374.62,11554.5,2292.82,195636558.64774218,195625058.7577422,180811427.4525361,1828.66,3567706
63,1,2017,Japan,1515,37827424.11548005,5776247.662433803,4635.49,52022.19,24968.596775894424,15.27,14.93,414.93,8650.2,5275.57,5754.99,3342.14,4.73,JPY,0.8485,128613.24199263193,37818358.98548005,37536.74,37789887.37548005,5647634.420441171,10956.95,79165.01,34685.12,5199.37,1733.5,37796820.245480046,37785863.29548004,32138228.87503887,3828.31,2666032
64,1,2018,Japan,5900,101360012.02076304,19157042.271924213,7662.34,41790.86,17179.663054366618,18.9,19.5,106.26,14936.57,2229.16,13514.66,1157.43,5.29,EUR,1.4249,-608160.0721245818,101344969.19076304,38832.31,101321179.71076304,19765202.344048794,10843.92,54316.27,16367.63,6583.95,6548.58,101334312.24076304,101323468.32076304,81558265.97671424,1933.24,2825331
65,1,2019,Japan,2746,88580414.84393504,10071593.167755414,16804.35,74354.49,32257.980642365274,11.37,17.34,1072.31,16451.52,11168.06,6501.35,1305.67,8.87,AUD,0.6682,-5288250.766182922,88562891.01393504,30403.2,88550011.64393504,15359843.933938336,3614.13,89098.59,17111.57,10226.23,7681.93,88567919.80393505,88564305.67393506,73204461.73999672,1638.17,2439646
66,1,2020,Japan,2040,97120285.12862338,27883233.860427774,6694.73,45880.78,47607.982906187935,28.71,15.81,446.66,18506.69,12569.44,19938.84,5128.94,9.74,JPY,1.1792,12528516.781592418,97101331.77862339,52190.63,97068094.49862339,15354717.078835357,13519.05,30666.33,39039.29,5831.59,5568.42,97079494.50862339,97065975.4586234,81711258.37978804,2558.78,1981027
67,1,2021,Japan,3848,91333947.50803013,11836879.597040705,5090.39,50661.71,23735.433344082674,12.96,11.43,953.99,16733.21,5774.38,7070.28,1421.95,9.15,JPY,1.4076,1397409.3968728613,91316260.30803014,56089.67,91277857.83803013,10439470.200167844,4062.4,26573.64,49677.0,3232.85,4119.65,91285210.33803013,91281147.93803012,80841677.73786227,1891.1,3779467
68,1,2022,Japan,5631,194512272.96173528,36801722.04436032,10715.1,26260.43,34543.11364974876,18.92,14.58,773.0,16604.4,5867.02,19893.73,6347.2,7.36,JPY,0.7221,8441832.646539316,194494895.56173527,13867.57,194498405.3917353,28359889.397821,3202.35,26596.27,26204.54,7039.1,7512.67,194512957.16173527,194509754.81173527,166149865.41391426,4000.64,1445095
69,1,2023,Japan,2372,108197666.30362026,22018225.092786726,8658.59,56251.61,45614.530482133334,20.35,8.53,206.31,7499.78,14640.15,18870.49,996.35,6.9,GBP,0.8226,12788964.157087918,108189960.21362026,88941.23,108108725.07362026,9229260.935698807,8426.1,14518.03,11021.71,4825.05,4626.63,108118176.75362025,108109750.65362026,98880489.71792145,4151.72,1683697
70,1,2024,Japan,3351,216553308.5574038,25033562.469235882,5779.98,24203.5,64623.488080395044,11.56,12.06,832.88,12520.38,10083.71,11429.66,584.81,5.77,USD,0.997,-1082766.5427870192,216539955.2974038,94002.78,216459305.7774038,26116329.0120229,8382.38,48899.96,33058.65,7491.34,3929.43,216470726.5474038,216462344.16740382,190346015.1553809,3138.68,3397370
71,2,2015,India,5019,216939291.9245603,34276408.12408053,19789.21,46519.25,43223.60867195862,15.8,9.73,272.37,24161.13,2585.3,9508.75,4423.72,7.5,USD,0.6941,13168215.019820813,216914858.4245603,27751.28,216911540.6445603,21108193.10425972,4830.02,11412.52,55292.61,8145.4,755.3,216920441.34456033,216915611.3245603,195807418.22030059,2100.2,3562897
